Q1: 以下哪个朝代的历史时间最长？
A. 唐朝
B. 清朝
C. 明朝
D. 汉朝
答案: D

Q2: 以下哪位皇帝是中国历史上唯一的女皇帝？
A. 武则天
B. 杨贵妃
C. 赵飞燕
D. 王昭君
答案: A

Q3: 以下哪个事件是导致元朝灭亡的直接原因？
A. 红巾起义
B. 元明战争
C. 元末民变
D. 元日战争
答案: C

Q4: 以下哪位诗人被称为“诗仙”？
A. 李白
B. 杜甫
C. 白居易
D. 李清照
答案: A

Q5: 以下哪个历史人物是三国时期的著名军事家？
A. 诸葛亮
B. 刘备
C. 曹操
D. 孙权
答案: A

Q6: 以下哪个电商平台是阿里巴巴集团旗下的？
A. 淘宝
B. 京东
C. 苏宁
D. 拼多多
答案: B

Q7: 以下哪个电商平台是以社交电商为主要模式的？
A. 亚马逊
B. 当当
C. 唯品会
D. 小红书
答案: D

Q8: 以下哪个电商平台是以海外购物为主要特色的？
A. 跨境通
B. 蘑菇街
C. 网易考拉
D. 美团
答案: C

Q9: 以下哪个电商平台是以二手交易为主要业务的？
A. 闲鱼
B. 一号店
C. 易迅
D. 贝贝
答案: A

Q10: 以下哪个电商平台是以直播带货为主要创新的？
A. 芒果TV
B. 抖音
C. 快手
D. B站
答案: B
